Gene Entrez ID	Gene Symbol
1434	CSE1L
1435	CSF1
1437	CSF2
1438	CSF2RA
1439	CSF2RB
1441	CSF3R
1443	CSH2
1445	CSK
1448	CSN3
1452	CSNK1A1
1453	CSNK1D
1454	CSNK1E
1455	CSNK1G2
1457	CSNK2A1
1459	CSNK2A2
1460	CSNK2B
1466	CSRP2
1469	CST1
1474	CST6
1476	CSTB
1477	CSTF1
1478	CSTF2
1479	CSTF3
1482	NKX2-5
1485	CTAG1B
1487	CTBP1
1488	CTBP2
1490	CTGF
1493	CTLA4
1495	CTNNA1
1499	CTNNB1
1500	CTNND1
1503	CTPS1
1508	CTSB
1510	CTSE
1511	CTSG
1514	CTSL1
1523	CUX1
1525	CXADR
1537	CYC1
1540	CYLD
1558	CYP2C8
1559	CYP2C9
1571	CYP2E1
1583	CYP11A1
1586	CYP17A1
1600	DAB1
1601	DAB2
1602	DACH1
1603	DAD1
1605	DAG1
1612	DAPK1
1613	DAPK3
1615	DARS
1616	DAXX
1620	DBC1
1622	DBI
1627	DBN1
1628	DBP
1629	DBT
1630	DCC
1634	DCN
1639	DCTN1
1641	DCX
1642	DDB1
1643	DDB2
1647	GADD45A
1649	DDIT3
1650	DDOST
1653	DDX1
1654	DDX3X
1655	DDX5
1656	DDX6
1659	DHX8
1660	DHX9
1662	DDX10
1665	DHX15
1666	DECR1
1667	DEFA1
1674	DES
1718	DHCR24
1719	DHFR
1728	NQO1
1736	DKC1
1737	DLAT
1738	DLD
1740	DLG2
1741	DLG3
1742	DLG4
1743	DLST
1755	DMBT1
1756	DMD
1759	DNM1
1778	DYNC1H1
1780	DYNC1I1
1781	DYNC1I2
1783	DYNC1LI2
1785	DNM2
1786	DNMT1
1787	TRDMT1
1788	DNMT3A
1789	DNMT3B
1794	DOCK2
1796	DOK1
1803	DPP4
1804	DPP6
1805	DPT
1808	DPYSL2
1809	DPYSL3
1820	ARID3A
1822	ATN1
1827	RCAN1
1829	DSG2
1831	TSC22D3
1832	DSP
1839	HBEGF
1840	DTX1
1843	DUSP1
1849	DUSP7
1852	DUSP9
1855	DVL1
1856	DVL2
1859	DYRK1A
1869	E2F1
1870	E2F2
1871	E2F3
1874	E2F4
1875	E2F5
1876	E2F6
1889	ECE1
1890	TYMP
1891	ECH1
1892	ECHS1
1894	ECT2
1901	S1PR1
1906	EDN1
1910	EDNRB
1911	PHC1
1912	PHC2
1915	EEF1A1
1933	EEF1B2
1936	EEF1D
1937	EEF1G
1938	EEF2
1950	EGF
1956	EGFR
1958	EGR1
1959	EGR2
1962	EHHADH
1964	EIF1AX
1965	EIF2S1
1967	EIF2B1
1968	EIF2S3
1973	EIF4A1
1974	EIF4A2
1975	EIF4B
1977	EIF4E
1978	EIF4EBP1
1981	EIF4G1
1982	EIF4G2
1983	EIF5
1984	EIF5A
1991	ELANE
1994	ELAVL1
1997	ELF1
1999	ELF3
2000	ELF4
2002	ELK1
2004	ELK3
2010	EMD
2011	MARK2
2017	CTTN
2019	EN1
2022	ENG
2023	ENO1
2026	ENO2
2027	ENO3
2033	EP300
2034	EPAS1
2035	EPB41
2036	EPB41L1
2040	STOM
2041	EPHA1
2042	EPHA3
2044	EPHA5
2046	EPHA8
2048	EPHB2
2049	EPHB3
2050	EPHB4
2053	EPHX2
2054	STX2
2055	CLN8
2057	EPOR
2058	EPRS
2059	EPS8
2060	EPS15
2063	NR2F6
2064	ERBB2
2065	ERBB3
2066	ERBB4
2067	ERCC1
2072	ERCC4
2074	ERCC6
2077	ERF
2078	ERG
2091	FBL
2099	ESR1
2100	ESR2
2101	ESRRA
2104	ESRRG
2107	ETF1
2108	ETFA
2113	ETS1
2114	ETS2
2115	ETV1
2120	ETV6
2122	MECOM
2130	EWSR1
2138	EYA1
2139	EYA2
2146	EZH2
2147	F2
2149	F2R
2175	FANCA
2176	FANCC
2177	FANCD2
2181	ACSL3
2185	PTK2B
2186	BPTF
2188	FANCF
2191	FAP
2192	FBLN1
2193	FARSA
2194	FASN
2197	FAU
2200	FBN1
2202	EFEMP1
2203	FBP1
2219	FCN1
2232	FDXR
2237	FEN1
2241	FER
2242	FES
2246	FGF1
2260	FGFR1
2261	FGFR3
2263	FGFR2
2264	FGFR4
2266	FGG
2267	FGL1
2268	FGR
2272	FHIT
2273	FHL1
2274	FHL2
2275	FHL3
2280	FKBP1A
2281	FKBP1B
2286	FKBP2
2287	FKBP3
2288	FKBP4
2289	FKBP5
2290	FOXG1
2299	FOXI1
2300	FOXL1
2302	FOXJ1
2304	FOXE1
2305	FOXM1
2308	FOXO1
2309	FOXO3
2313	FLI1
2314	FLII
2316	FLNA
2317	FLNB
2318	FLNC
2319	FLOT2
2321	FLT1
2331	FMOD
2332	FMR1
2335	FN1
2339	FNTA
2353	FOS
2354	FOSB
2355	FOSL2
2444	FRK
2475	MTOR
2483	FRG1
2494	NR5A2
2495	FTH1
2512	FTL
2515	ADAM2
2516	NR5A1
2521	FUS
2534	FYN
2535	FZD2
2547	XRCC6
2548	GAA
2550	GABBR1
2551	GABPA
2553	GABPB1
2584	GALK1
2593	GAMT
2597	GAPDH
2617	GARS
2618	GART
2623	GATA1
2624	GATA2
2625	GATA3
2629	GBA
2631	GBAS
2634	GBP2
2641	GCG
2648	KAT2A
2660	MSTN
2661	GDF9
2664	GDI1
2665	GDI2
2669	GEM
2670	GFAP
2672	GFI1
2673	GFPT1
2688	GH1
2690	GHR
2691	GHRH
2695	GIP
2697	GJA1
2700	GJA3
2705	GJB1
2706	GJB2
2709	GJB5
2720	GLB1
2731	GLDC
2733	GLE1
2735	GLI1
2736	GLI2
2737	GLI3
2742	GLRA2
2746	GLUD1
2752	GLUL
2770	GNAI1
2771	GNAI2
2773	GNAI3
2775	GNAO1
2778	GNAS
2781	GNAZ
2782	GNB1
2783	GNB2
2800	GOLGA1
2801	GOLGA2
2802	GOLGA3
2804	GOLGB1
2806	GOT2
2810	SFN
2817	GPC1
2821	GPI
2835	GPR12
2861	GPR37
2863	GPR39
2869	GRK5
2872	MKNK2
2873	GPS1
2879	GPX4
2882	GPX7
2885	GRB2
2886	GRB7
2887	GRB10
2888	GRB14
2896	GRN
2908	NR3C1
